empresa,pais,sector,precio_eur_LY,precio_eur_CY,empleados,ingresos_millones,crecimiento_pct
BBVA,Spain,Banking,100,112,120000,28000,12
Santander,Spain,Banking,95,105,190000,32000,10
Amazon,USA,Ecommerce,230,260,1500000,500000,13
Google,USA,Tech,300,340,180000,280000,14
Microsoft,USA,Tech,280,310,220000,220000,11
Apple,USA,Tech,250,270,160000,260000,8
Accenture,France,Consulting,77,120,700000,61000,56
Deloitte,UK,Consulting,50,60,350000,50000,20
Inditex,Spain,Retail,90,95,165000,32000,5
Tesla,USA,Automotive,400,420,140000,81000,5
Toyota,Japan,Automotive,200,210,370000,275000,5
Samsung,SouthKorea,Tech,210,240,266000,200000,14
Alibaba,China,Ecommerce,180,190,240000,134000,5
Meta,USA,Tech,320,300,86000,116000,-6
Netflix,USA,Streaming,290,310,13000,33000,7
Spotify,Sweden,Streaming,150,170,9000,12000,13
Airbnb,USA,Travel,170,185,7000,8500,9
Uber,USA,Transport,160,175,32000,37000,9
Siemens,Germany,Industrial,140,150,300000,77000,7
Iberdrola,Spain,Energy,110,120,40000,53000,9
Repsol,Spain,Energy,120,135,25000,60000,12
Endesa,Spain,Energy,100,108,9000,20000,8
Ford,USA,Automotive,180,190,180000,158000,6
BMW,Germany,Automotive,220,230,120000,120000,5
Volkswagen,Germany,Automotive,210,205,300000,250000,-2
Intel,USA,Tech,200,195,130000,79000,-3
AMD,USA,Tech,150,180,15000,23000,20
Nvidia,USA,Tech,250,300,26000,60000,20
Oracle,USA,Tech,210,220,140000,42000,5
SAP,Germany,Tech,190,200,110000,35000,5
H&M,Sweden,Retail,80,78,120000,20000,-2
Decathlon,France,Retail,70,75,90000,15000,7
Lidl,Germany,Retail,60,65,310000,120000,8
Carrefour,France,Retail,65,68,320000,80000,4
Booking,Netherlands,Travel,200,210,20000,17000,5
Expedia,USA,Travel,180,185,16000,12000,3
Ryanair,Ireland,Transport,140,150,19000,11000,7
IAG,UK,Transport,130,125,55000,23000,-4
Maersk,Denmark,Transport,170,180,80000,60000,6
Shell,UK,Energy,250,270,90000,350000,8
BP,UK,Energy,240,255,70000,300000,6
Total,France,Energy,230,240,100000,280000,4
Pfizer,USA,Health,300,290,80000,100000,-3
Moderna,USA,Health,200,180,5000,20000,-10
Novartis,Switzerland,Health,210,215,100000,50000,2
Roche,Switzerland,Health,220,225,105000,60000,2
Bayer,Germany,Health,190,195,100000,48000,3
Nestle,Switzerland,Food,180,190,275000,95000,5
Danone,France,Food,120,125,100000,30000,4
CocaCola,USA,Food,200,210,80000,43000,5
Pepsi,USA,Food,190,205,90000,48000,8
McDonalds,USA,Food,220,230,200000,23000,5
Starbucks,USA,Food,180,195,350000,32000,8
Unilever,UK,Food,170,175,150000,60000,3
ProcterGamble,USA,Consumer,210,220,100000,80000,5
Nike,USA,Retail,190,210,80000,51000,10
Adidas,Germany,Retail,170,165,60000,25000,-3
Puma,Germany,Retail,150,160,16000,8000,7
Sony,Japan,Tech,200,210,110000,90000,5
Panasonic,Japan,Tech,180,175,240000,70000,-2
LG,SouthKorea,Tech,190,200,75000,65000,5
Tencent,China,Tech,250,260,100000,90000,4
Baidu,China,Tech,180,185,40000,20000,3
JD,China,Ecommerce,160,170,300000,150000,6
Rakuten,Japan,Ecommerce,140,145,30000,14000,3
Zalando,Germany,Ecommerce,130,140,17000,10000,8
eBay,USA,Ecommerce,150,155,10000,10000,3
PayPal,USA,Finance,210,220,30000,29000,5
Visa,USA,Finance,220,235,20000,32000,7
Mastercard,USA,Finance,210,225,24000,28000,7
GoldmanSachs,USA,Finance,200,210,45000,44000,5
MorganStanley,USA,Finance,190,205,70000,48000,7
AXA,France,Insurance,160,165,120000,100000,3
Allianz,Germany,Insurance,170,180,150000,140000,6
Axa,France,Insurance,160,168,110000,95000,5
ING,Netherlands,Banking,140,150,60000,50000,7
HSBC,UK,Banking,130,135,220000,60000,4
Barclays,UK,Banking,120,125,80000,35000,4
CreditSuisse,Switzerland,Banking,110,100,45000,25000,-9
UBS,Switzerland,Banking,150,160,70000,30000,7
